epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2308.68,3.13267,3.19011,3.31736,0.00393,0.84872,0.07469,0.02368,2.25519,3.58764,3.39807,0.00031673,0.00031673,0.00031673
2,10534.9,2.65188,2.70703,2.84812,0.24093,0.14242,0.14105,0.05337,2.9109,3.12825,3.59098,0.000617949,0.000617949,0.000617949
3,15641.8,2.2908,2.43529,2.52483,0.35201,0.43846,0.30686,0.13654,2.06091,2.42796,2.56604,0.000886161,0.000886161,0.000886161
4,18674.7,2.17815,2.34776,2.4258,0.47571,0.45435,0.44081,0.18987,1.90696,2.24381,2.40502,0.00112137,0.00112137,0.00112137
5,20631,2.03037,2.2221,2.31246,0.37775,0.55373,0.37865,0.12965,2.07925,2.39031,2.55137,0.00132356,0.00132356,0.00132356
6,21096.2,2.03993,2.24071,2.31937,0.24597,0.35385,0.27488,0.12456,1.93733,4.0212,2.41535,0.00125442,0.00125442,0.00125442
7,21706.3,1.90903,2.04478,2.183,0.44288,0.63846,0.48103,0.17636,2.12302,2.05125,2.48282,0.0011719,0.0011719,0.0011719
8,22173.9,1.86227,2.00728,2.13744,0.59941,0.45385,0.40371,0.18711,1.92006,2.34376,2.3907,0.00108938,0.00108938,0.00108938
9,22639.6,1.77902,1.94617,2.10611,0.5941,0.55385,0.57296,0.23787,2.20723,2.33381,2.53774,0.00100687,0.00100687,0.00100687
10,23395.2,1.78044,1.90548,2.07431,0.6921,0.45573,0.51963,0.22514,2.03721,2.12317,2.46695,0.000924352,0.000924352,0.000924352
11,24314.7,1.76941,2.02074,2.1736,0.58141,0.53846,0.55602,0.24565,1.84285,1.62231,2.30778,0.000841835,0.000841835,0.000841835
12,25912.5,1.66763,1.73492,2.06106,0.58606,0.58909,0.53036,0.25224,1.96613,1.62733,2.39227,0.000759318,0.000759318,0.000759318
13,26360.1,1.61233,1.60395,1.98708,0.51221,0.71935,0.61935,0.3058,1.756,1.24004,2.17603,0.000676802,0.000676802,0.000676802
14,28818.3,1.50423,1.47489,1.89792,0.64434,0.56964,0.57667,0.24782,1.74271,1.62657,2.13675,0.000594286,0.000594286,0.000594286
15,29270.2,1.47619,1.41734,1.88351,0.75756,0.49231,0.59457,0.28251,1.7634,1.64266,2.17281,0.000511769,0.000511769,0.000511769
16,29723.7,1.39151,1.28799,1.81408,0.76641,0.62903,0.67171,0.32867,1.91191,1.49727,2.30609,0.000429253,0.000429253,0.000429253
17,30230.7,1.35738,1.2428,1.76746,0.85443,0.61715,0.66136,0.32027,1.68895,1.42617,2.1489,0.000346736,0.000346736,0.000346736
18,30675.5,1.2834,1.21086,1.72918,0.6365,0.69744,0.64098,0.31663,1.7179,1.40491,2.1778,0.00026422,0.00026422,0.00026422
19,31428.8,1.26317,1.06587,1.70489,0.65467,0.67226,0.63752,0.30688,1.80194,1.41728,2.20637,0.000181703,0.000181703,0.000181703
20,31879,1.20192,1.03971,1.66056,0.64551,0.68974,0.65869,0.32473,1.73373,1.28681,2.14112,9.91865e-05,9.91865e-05,9.91865e-05
