epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4688,1.71263,3.07297,1.95145,0.0049,0.96154,0.22606,0.12875,1.88013,3.50051,2.52902,0.00031673,0.00031673,0.00031673
2,412.087,1.70056,2.86409,1.8768,0.00359,0.83846,0.11951,0.04466,2.24895,3.59545,2.6691,0.000617949,0.000617949,0.000617949
3,499.895,1.8275,2.6357,2.02264,0.76729,0.02564,0.10673,0.05177,2.79188,3.78335,3.37946,0.000886161,0.000886161,0.000886161
4,587.115,1.85413,2.55353,2.04051,0.00272,0.46923,0.01598,0.00229,3.93641,4.01114,6.00109,0.00112137,0.00112137,0.00112137
5,673.993,1.83276,2.46354,2.01512,0.01982,0.09744,0.00437,0.00106,3.95349,7.67619,6.38775,0.00132356,0.00132356,0.00132356
6,761.923,1.84821,2.48892,2.03515,0.16751,0.22564,0.14301,0.03063,2.77838,3.46089,3.09817,0.00125442,0.00125442,0.00125442
7,849.325,1.756,2.30633,1.93317,0.2085,0.25385,0.14765,0.04778,2.37227,3.43705,2.90528,0.0011719,0.0011719,0.0011719
8,937.508,1.71669,2.24134,1.9033,0.21592,0.2,0.13276,0.04776,2.73147,3.49597,3.28406,0.00108938,0.00108938,0.00108938
9,1024.51,1.75156,2.20575,1.90635,0.2161,0.28462,0.20342,0.08798,2.12788,4.12816,2.76853,0.00100687,0.00100687,0.00100687
10,1111.75,1.71229,2.23879,1.8954,0.24691,0.20022,0.24027,0.0932,2.30376,5.91533,2.6683,0.000924352,0.000924352,0.000924352
11,1198.69,1.70303,2.46225,2.08213,0.36062,0.43333,0.39302,0.13712,2.01056,3.03082,2.72581,0.000841835,0.000841835,0.000841835
12,1285.19,1.62909,2.25101,2.02543,0.44762,0.70513,0.52738,0.23779,1.73027,2.18663,2.25183,0.000759318,0.000759318,0.000759318
13,1371.37,1.55055,2.11559,1.95541,0.52774,0.68623,0.65217,0.24114,1.77922,2.02685,2.22543,0.000676802,0.000676802,0.000676802
14,1458.27,1.5401,2.04899,1.9288,0.81225,0.52051,0.65006,0.3356,1.523,1.81969,2.0273,0.000594286,0.000594286,0.000594286
15,1544.63,1.4772,1.95181,1.89712,0.66274,0.67227,0.67739,0.31594,1.63929,2.06919,2.12673,0.000511769,0.000511769,0.000511769
16,1630.68,1.46956,1.86576,1.86757,0.71229,0.6057,0.68384,0.32935,1.50388,1.86136,2.02032,0.000429253,0.000429253,0.000429253
17,1717.27,1.43363,1.82057,1.82157,0.72915,0.68974,0.71465,0.37122,1.53704,1.66744,2.02924,0.000346736,0.000346736,0.000346736
18,1805.05,1.38872,1.75855,1.79017,0.74097,0.75232,0.78326,0.45521,1.42877,1.53743,1.89218,0.00026422,0.00026422,0.00026422
19,1890.87,1.38006,1.66568,1.76878,0.80687,0.69756,0.7794,0.44368,1.51456,1.53005,1.94511,0.000181703,0.000181703,0.000181703
20,1984.44,1.3163,1.60331,1.72689,0.7868,0.63846,0.75468,0.41785,1.51394,1.55665,1.96293,9.91865e-05,9.91865e-05,9.91865e-05
